,,,,,,,,,,,,,,,,,,,,
Mata Uang Asing,Kurs Tengah Beberapa Mata Uang Asing Terhadap Rupiah di Bank Indonesia dan Harga Emas di Jakarta (Rupiah),,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Dollar Australian,5318,5309,5065,6347,7242,7207,7133,8229,7556,8432,9143,9203,10025,10876,10218,10064,9724,10557,10211,9739
Euro,-,-,-,10515,12652,11660,11858,13760,15432,13510,11956,11739,12810,16821,15133,15070,14162,16174,16560,15589
Pound sterling Inggris,14299,15080,14334,15076,17888,16942,17697,18804,15803,15114,13894,13969,15579,20097,19370,20451,16508,18218,18373,18250
Dollar Hongkong,1230,1333,1146,1090,1195,1268,1160,1208,1413,1212,1155,1167,1247,1572,1604,1780,1732,1733,1849,1785
Yen Jepang,-,-,-,-,9042,8342,7580,8307,-,102,110,117,112,116,104,115,115,120,131,127.97
Ringgit Malaysia,2525,2736,2353,2228,2445,2601,2554,2828,3153,2747,2916,2853,3160,3708,3562,3210,2996,3335,3493,3397
Dollar Singapura,-,-,-,-,5686,5907,5879,6502,7607,6699,6981,6974,7907,9628,9422,9751,9299,10134,10603,10321
Dollar Amerika,9595,10400,8940,8465,9290,9830,9020,9419,10950,9400,8991,9068,9670,12189,12440,13795,13436,13548,14481,13901
Emas1,71875,80000,85000,100000,100000,140000,165000,206667,250000,300000,360000,450000,460000,470000,478402,-,-,-,-,-
Gulden Belanda,4044,4169,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
