No ID,Harga,Mesin cc,Sistem kemudi,ABS,Airbag,Kapasitas,Keterangan
1,High,1800,Rak dan Pinion,Ada,2,5,Diminati
2,High,3700,Rak dan Pinion,Ada,0,5,Tidak diminati
3,Low,2000,AWD/FWD,Ada,8,5,Diminati
4,High,1999,Rak dan Pinion,Ada,6,5,Diminati
5,High,1997,Rak dan Pinion,Ada,6,5,Diminati
6,High,1395,Rak dan Pinion,Ada,2,7,Diminati
7,High,1500,Rak dan Pinion,Ada,6,6,Diminati
8,High,2494,Rak dan Pinion,Ada,7,5,Tidak diminati
9,Low,1199,Rak dan Pinion,Ada,6,5,Diminati
10,High,1998,Rak dan Pinion,Ada,7,2,Tidak diminati
11,Low,1496,Rak dan Pinion,Ada,7,5,Diminati
12,High,2477,Rak dan Pinion,Ada,7,7,Diminati
13,Low,1499,Rak dan Pinion,Ada,2,7,Diminati
14,High,1997,Rak dan Pinion,Ada,2,7,Diminati
15,High,3982,Rak dan Pinion,Ada,6,5,Diminati
16,Low,998,Rak dan Pinion,Ada,2,5,Diminati
17,High,2488,Rak dan Pinion,Ada,5,5,Diminati
18,Low,1496,Rak dan Pinion,Ada,5,6,Diminati
19,High,1991,Rak dan Pinion,Ada,6,5,Tidak diminati
20,High,2488,Rak dan Pinion,Ada,4,7,Tidak diminati
21,High,1998,Rak dan Pinion,Ada,6,5,Tidak diminati
22,High,1798,Rak dan Pinion,Ada,6,7,Tidak diminati
23,High,1368,Rak dan Pinion,Ada,2,5,Tidak diminati
24,High,1998,Rak dan Pinion,Ada,6,7,Diminati
25,High,1496,Rak dan Pinion,Ada,6,5,Diminati
26,High,2494,Rak dan Pinion,Ada,6,7,Diminati
27,High,4163,Rak dan Pinion,Ada,2,7,Tidak diminati
28,Low,999,Rak dan Pinion,Ada,2,5,Diminati
29,Low,1496,Rak dan Pinion,Ada,2,5,Diminati
30,low,1197,Rak dan Pinion,Ada,2,7,Diminati
31,High,2000,Rak dan Pinion,Ada,0,5,Tidak diminati
32,High,2497,Rak dan Pinion,Ada,6,5,Diminati
33,High,2393,Rak dan Pinion,Ada,7,5,Diminati
34,High,2499,Rak dan Pinion,Ada,6,7,Diminati
35,Low,1462,Rak dan Pinion,Ada,2,7,Diminati
36,Low,1329,Rak dan Pinion,Ada,2,7,Diminati
37,Low,1496,Rak dan Pinion,Ada,2,7,Diminati
38,Low,1197,Rak dan Pinion,Ada,4,7,Tidak diminati
39,Low,998,Rak dan Pinion,Ada,2,5,Diminati
40,High,999,Rak dan Pinion,Ada,4,7,Tidak diminati
41,Low,1485,Rak dan Pinion,Ada,6,8,Diminati
